,fund,department,class_id,total2016,total2017,total2018,total
120,General Fund,Finance - Regulation 32 Payroll,Personal Services,,,,2650000
121,Aviation Fund,Police,Personal Services,15611887,15666636,15721670,16961237
122,General Fund,Finance - School District Contribution,"Contributions, Indemnities, Refunds, and Taxes",69184673,104263617,104348281,176164367
123,General Fund,Finance - Witness Fees,Purchase of Services,171518,171518,171518,171518
124,General Fund,Revenue,Personal Services,19617564,22142214,22231193,22156816
125,General Fund,Revenue,Purchase of Services,5352949,7038149,7350349,7630749
126,General Fund,Revenue,"Materials, Supplies, and Equipment",800976,1023476,910976,919976
127,General Fund,Sinking Fund Commission (Debt Service),Purchase of Services,104546913,123639615,138697144,125536378
128,General Fund,Sinking Fund Commission (Debt Service),Debt Service,141398213,153950119,157322070,169496126
129,General Fund,Procurement,Personal Services,2472351,2504399,2566732,2573121
130,General Fund,Procurement,Purchase of Services,2316267,2316267,2316267,2316267
131,General Fund,Procurement,"Materials, Supplies, and Equipment",49054,49054,49054,49054
132,General Fund,City Treasurer,Personal Services,985689,1040058,1062869,1046647
133,General Fund,City Treasurer,Purchase of Services,118444,118444,118444,623444
134,General Fund,City Treasurer,"Materials, Supplies, and Equipment",22224,22224,22224,22224
135,General Fund,City Representative,Personal Services,418201,474381,601690,704470
136,General Fund,City Representative,Purchase of Services,561730,481730,561730,399779
137,General Fund,City Representative,"Materials, Supplies, and Equipment",54000,54000,54000,54000
138,General Fund,Commerce,Personal Services,1943211,2374990,2200461,2120079
139,General Fund,Commerce,Purchase of Services,1433481,1775481,2675481,3066925
140,General Fund,Commerce,"Materials, Supplies, and Equipment",26654,26654,26654,26654
141,General Fund,Commerce,"Contributions, Indemnities, Refunds, and Taxes",500000,500000,500000,500000
142,General Fund,Commerce - Convention Center Subsidy,Purchase of Services,15000000,15000000,15000000,15000000
143,General Fund,Commerce - Economic Stimulus,Purchase of Services,3294448,3294448,2794448,2397004
144,General Fund,Law,Personal Services,7383566,7934005,8334481,8663318
145,General Fund,Law,Purchase of Services,7010034,8410034,7010034,6579170
146,General Fund,Law,"Materials, Supplies, and Equipment",248676,248676,248676,248676
147,General Fund,Board of Ethics,Personal Services,924511,961403,985489,964792
148,General Fund,Board of Ethics,Purchase of Services,96000,96000,96000,96000
149,General Fund,Board of Ethics,"Materials, Supplies, and Equipment",14000,14000,14000,14000
150,General Fund,Office of Sustainability,Personal Services,537979,537979,557790,537979
151,General Fund,Office of Sustainability,Purchase of Services,279508,279508,393508,393508
152,General Fund,Office of Sustainability,"Materials, Supplies, and Equipment",17840,17840,17840,17840
153,General Fund,Free Library,Personal Services,35777252,35454254,36310826,36659781
154,General Fund,Free Library,Purchase of Services,2922077,2324077,2324077,2324077
155,General Fund,Free Library,"Materials, Supplies, and Equipment",2302659,2302659,2302659,2302659
156,General Fund,Human Relations Commission,Personal Services,2099408,2142519,2141591,2139648
157,General Fund,Human Relations Commission,Purchase of Services,34657,34657,34657,34657
158,General Fund,Human Relations Commission,"Materials, Supplies, and Equipment",13031,13031,28031,28031
159,General Fund,Civil Service Commission,Personal Services,147343,148882,166376,167462
160,General Fund,Civil Service Commission,Purchase of Services,29500,29500,29500,29500
161,General Fund,Civil Service Commission,"Materials, Supplies, and Equipment",1094,1094,1094,1094
162,General Fund,Civil Service Commission,Advances and Other Misc Payments,6906535,10000000,20000000,30000000
163,General Fund,Office of Human Resources,Personal Services,5399621,5403578,4983106,5035367
164,General Fund,Office of Human Resources,Purchase of Services,964070,802070,959070,1239070
165,General Fund,Office of Human Resources,"Materials, Supplies, and Equipment",69932,69932,69432,69432
166,General Fund,Office of Property Assessment,Personal Services,10424420,10434139,11313100,11890699
167,General Fund,Office of Property Assessment,Purchase of Services,2078126,1578126,1828126,1903126
168,General Fund,Office of Property Assessment,"Materials, Supplies, and Equipment",782600,782600,782600,822600
169,General Fund,Auditing,Personal Services,7772885,7909512,8426765,8370558
170,General Fund,Auditing,Purchase of Services,497450,497450,497450,497450
171,General Fund,Auditing,"Materials, Supplies, and Equipment",25000,25000,25000,25000
172,General Fund,Board of Revision of Taxes,Personal Services,819627,819627,942999,935976
173,General Fund,Board of Revision of Taxes,Purchase of Services,20200,20200,90200,75200
174,General Fund,Board of Revision of Taxes,"Materials, Supplies, and Equipment",15727,15727,15727,15727
175,General Fund,Register of Wills,Personal Services,3232166,3563499,3979046,3975157
176,General Fund,Register of Wills,Purchase of Services,75486,75486,75486,75486
177,General Fund,Register of Wills,"Materials, Supplies, and Equipment",33210,33210,189750,189750
178,General Fund,District Attorney,Personal Services,32490021,33303525,34686670,34668476
179,General Fund,District Attorney,Purchase of Services,2467172,2467172,2594296,2994296
180,General Fund,District Attorney,"Materials, Supplies, and Equipment",525021,525021,529521,529521
181,General Fund,Sheriff,Personal Services,17104325,19008101,21522650,22933165
182,General Fund,Sheriff,Purchase of Services,715267,715267,1105267,1105267
183,General Fund,Sheriff,"Materials, Supplies, and Equipment",393207,418907,443907,443907
184,General Fund,City Commissioners,Personal Services,5624276,5638818,5872200,5926203
185,General Fund,City Commissioners,Purchase of Services,3497350,3497350,3497350,3497350
186,General Fund,City Commissioners,"Materials, Supplies, and Equipment",541617,541617,541617,541617
187,General Fund,First Judicial District,Personal Services,97206858,97254698,99505601,99194666
188,General Fund,First Judicial District,Purchase of Services,10656574,10656574,9545039,8130039
189,General Fund,First Judicial District,"Materials, Supplies, and Equipment",2391868,2391868,2391868,2231868
190,Water Fund,Office of Innovation and Technology,Personal Services,6265289,6316852,7256281,8003747
191,Water Fund,Office of Innovation and Technology,Purchase of Services,14706497,14050511,19043874,20930724
192,Water Fund,Office of Innovation and Technology,"Materials, Supplies, and Equipment",216200,2045628,2700550,3032350
193,Water Fund,Managing Director's Office,Personal Services,,138550,138550,138550
194,Water Fund,Fleet Management,Personal Services,2969317,2969317,3062196,3062196
195,Water Fund,Fleet Management,Purchase of Services,1489000,1489000,1489000,1489000
196,Water Fund,Fleet Management,"Materials, Supplies, and Equipment",4214640,4274640,4274640,4274640
197,Water Fund,Public Property,Purchase of Services,4042633,4042633,4256817,4265847
198,Water Fund,Water,Personal Services,102961600,107808919,116470294,119823412
199,Water Fund,Water,Personal Services,102961600,107808919,116470294,40000
200,Water Fund,Water,Purchase of Services,151645200,160565792,157471521,173643500
201,Water Fund,Water,Purchase of Services,151645200,160565792,157471521,500000
202,Water Fund,Water,"Materials, Supplies, and Equipment",44061850,48537569,48934793,54083000
203,Water Fund,Water,"Materials, Supplies, and Equipment",44061850,48537569,48934793,25000
204,Water Fund,Water,"Contributions, Indemnities, Refunds, and Taxes",100000,501000,600000,671000
205,Water Fund,Water,Payments to Other Funds,65000000,66700000,71000000,71000000
206,Water Fund,Finance - Employee Benefits,Personal Services,110915262,113965262,122132283,138140401
207,Water Fund,Finance - Indemnities,"Contributions, Indemnities, Refunds, and Taxes",6500000,6500000,6500000,8500000
208,Water Fund,Revenue,Personal Services,11138839,11979473,9759200,10171000
209,Water Fund,Revenue,Purchase of Services,4484480,5072174,5048100,5059000
210,Water Fund,Revenue,"Materials, Supplies, and Equipment",514485,1434199,1428400,1429500
211,Water Fund,Revenue,"Contributions, Indemnities, Refunds, and Taxes",5000,5000,5000,5000
212,Water Fund,Sinking Fund Commission (Debt Service),Debt Service,227139336,207371679,240267536,212992336
213,Water Fund,Procurement,Personal Services,77383,82098,89261,93093
214,Water Fund,Law,Personal Services,2506206,2506206,2506206,2506206
215,Water Fund,Law,Purchase of Services,691614,691614,691614,691614
216,Water Fund,Law,"Materials, Supplies, and Equipment",30000,43010,43010,43010
217,Water Fund,Office of Sustainability,Personal Services,63874,63874,63874,63874
218,Water Fund,Office of Sustainability,Purchase of Services,30000,30000,30000,30000
219,Water Residual Fund,Water,Payments to Other Funds,34724000,34724000,37000000,37000000
220,County Liquid Fuels Tax Fund,Streets,Personal Services,3734000,3734000,3734000,3734000
221,County Liquid Fuels Tax Fund,Streets,Purchase of Services,861000,747330,2500330,3320330
222,County Liquid Fuels Tax Fund,Streets,"Materials, Supplies, and Equipment",256330,,,200000
223,County Liquid Fuels Tax Fund,Streets,Payments to Other Funds,18670,18670,18670,18670
224,Special Gasoline Tax Fund,Streets,Personal Services,3000000,4057500,5357500,6794388
225,Special Gasoline Tax Fund,Streets,Purchase of Services,15558550,16590335,18110424,16729343
226,Special Gasoline Tax Fund,Streets,"Materials, Supplies, and Equipment",4871442,13102165,14502076,12386269
227,Special Gasoline Tax Fund,Streets,Payments to Other Funds,15000,20000,30000,30000
228,Special Gasoline Tax Fund,Finance - Employee Benefits,Personal Services,1000000,1000000,1000000,1000000
229,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,800000
230,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,,,,1299100000
231,Healthchoices Behavioral Health Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Payments to Other Funds,,,,100000
232,Hotel Room Rental Tax Fund,Commerce,"Contributions, Indemnities, Refunds, and Taxes",62700000,63954000,70350000,73868000
233,Grants Revenue Fund,City Council - Veterans Advisory Commission,Personal Services,,,,100000
234,Grants Revenue Fund,City Council - Veterans Advisory Commission,Purchase of Services,,,,75000
235,Grants Revenue Fund,City Council - Veterans Advisory Commission,"Materials, Supplies, and Equipment",,,,30000
236,Grants Revenue Fund,City Council - Veterans Advisory Commission,"Contributions, Indemnities, Refunds, and Taxes",,,,100
237,Grants Revenue Fund,City Council - Veterans Advisory Commission,Payments to Other Funds,,,,100
238,Grants Revenue Fund,City Council - Veterans Advisory Commission,Advances and Other Misc Payments,,,,100
239,Grants Revenue Fund,Office of Innovation and Technology,Personal Services,,605300,235347,231290
240,Grants Revenue Fund,Office of Innovation and Technology,Purchase of Services,967655,834939,789939,958019
241,Grants Revenue Fund,Office of Innovation and Technology,Payments to Other Funds,44702879,43005648,53786944,45896238
242,Grants Revenue Fund,Mayor's Office,Personal Services,1116264,1021541,909506,837663
243,Grants Revenue Fund,Mayor's Office,Personal Services,1116264,1021541,69577,837663
244,Grants Revenue Fund,Mayor's Office,Personal Services,1116264,1021541,909506,64080
245,Grants Revenue Fund,Mayor's Office,Personal Services,1116264,1021541,69577,64080
246,Grants Revenue Fund,Mayor's Office,Purchase of Services,658412,8929,3337,11473
247,Grants Revenue Fund,Mayor's Office,"Materials, Supplies, and Equipment",7190,5120,3515,1969
248,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,Personal Services,,3102912,2646348,2399073
249,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,Personal Services,,3102912,480329,2399073
250,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,Personal Services,,3102912,2646348,429391
251,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,Personal Services,,3102912,480329,429391
252,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,Purchase of Services,,12979913,16486379,15646220
253,Grants Revenue Fund,Mayor's Office of Community Empowerment and Opportunity,"Materials, Supplies, and Equipment",,58465,64463,70540
254,Grants Revenue Fund,Mayor - Office of the CAO,Personal Services,,,,102307
255,Grants Revenue Fund,Mayor - Office of Education,Personal Services,,,,76667
256,Grants Revenue Fund,Mayor - Office of Education,Personal Services,,,,34063
257,Grants Revenue Fund,Mayor - Office of Education,Purchase of Services,,,,189630
258,Grants Revenue Fund,Mayor - Office of Education,"Materials, Supplies, and Equipment",,,,1500
259,Grants Revenue Fund,Managing Director's Office,Personal Services,1864474,2518877,2672052,3293207
260,Grants Revenue Fund,Managing Director's Office,Purchase of Services,4021103,5862479,42977662,5847251
261,Grants Revenue Fund,Managing Director's Office,"Materials, Supplies, and Equipment",183113,242926,780350,410089
262,Grants Revenue Fund,Police,Personal Services,6249926,6193806,5277950,3861903
263,Grants Revenue Fund,Police,Personal Services,6249926,6193806,343747,3861903
264,Grants Revenue Fund,Police,Personal Services,6249926,6193806,5277950,384114
265,Grants Revenue Fund,Police,Personal Services,6249926,6193806,343747,384114
266,Grants Revenue Fund,Police,Purchase of Services,6276769,3832048,5825852,4356842
267,Grants Revenue Fund,Police,"Materials, Supplies, and Equipment",6040694,10889084,9135530,7143170
268,Grants Revenue Fund,Streets,Personal Services,720000,1035000,1123000,1355000
269,Grants Revenue Fund,Streets,Personal Services,720000,1035000,76000,1355000
270,Grants Revenue Fund,Streets,Purchase of Services,31905144,19111000,25320000,16540000
271,Grants Revenue Fund,Streets,"Materials, Supplies, and Equipment",1849856,4604000,6109000,5884000
272,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,10796111,11241685
273,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,1253630,11241685
274,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,10796111,1145012
275,Grants Revenue Fund,Fire,Personal Services,9491996,15584447,1253630,1145012
276,Grants Revenue Fund,Fire,Purchase of Services,1388014,6300019,6852077,5445189
277,Grants Revenue Fund,Fire,"Materials, Supplies, and Equipment",223348,934732,1122244,2313262
278,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,13540000,19043038
279,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,4626000,19043038
280,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,13540000,4297637
281,Grants Revenue Fund,Public Health,Personal Services,15358732,15472454,4626000,4297637
282,Grants Revenue Fund,Public Health,Purchase of Services,56755608,65216029,92322478,107060965
283,Grants Revenue Fund,Public Health,"Materials, Supplies, and Equipment",1059693,2229209,2931782,22930926
284,Grants Revenue Fund,Public Health,Payments to Other Funds,865555,771376,1038500,879732
285,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,17132274
286,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Personal Services,,,,8070519
287,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Purchase of Services,,,,246507560
288,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,"Materials, Supplies, and Equipment",,,,250000
289,Grants Revenue Fund,Office of Behavioral Health and Intellectual Disabilities,Payments to Other Funds,,,,84707
290,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,3174931,3337979
291,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,529754,3337979
292,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,3174931,592471
293,Grants Revenue Fund,Parks and Recreation,Personal Services,3836352,3664199,529754,592471
294,Grants Revenue Fund,Parks and Recreation,Purchase of Services,922703,1627045,1580486,1937709
295,Grants Revenue Fund,Parks and Recreation,"Materials, Supplies, and Equipment",6335874,6846240,7146383,7346383
296,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,81613995
297,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,81613995
298,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,38485241
299,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,38485241
300,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,79596553,1805966
301,Grants Revenue Fund,Human Services,Personal Services,116949046,119978925,38409779,1805966
302,Grants Revenue Fund,Human Services,Purchase of Services,451172464,446146244,469945854,484484329
303,Grants Revenue Fund,Human Services,Purchase of Services,451172464,446146244,469945854,41873415
304,Grants Revenue Fund,Human Services,"Materials, Supplies, and Equipment",1337197,1833876,2082114,3929155
305,Grants Revenue Fund,Human Services,"Materials, Supplies, and Equipment",1337197,1833876,2082114,1021376
306,Grants Revenue Fund,Finance,Advances and Other Misc Payments,,203800585,200001455,250000678
307,Grants Revenue Fund,Procurement,Purchase of Services,,,,3000
308,Grants Revenue Fund,Commerce,Purchase of Services,,10292701,10150000,10000000
309,Grants Revenue Fund,Law,Purchase of Services,,,,200000
310,Grants Revenue Fund,Office of Sustainability,Personal Services,40000,40000,50000,50000
311,Grants Revenue Fund,Office of Sustainability,Purchase of Services,,,,168673
312,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,979580,1144106
313,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,207306,1144106
314,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,979580,128255
315,Grants Revenue Fund,Free Library,Personal Services,1226084,1152961,207306,128255
316,Grants Revenue Fund,Free Library,Purchase of Services,3921223,3739590,4036551,4040285
317,Grants Revenue Fund,Free Library,"Materials, Supplies, and Equipment",3221883,3378378,3601478,3301157
318,Grants Revenue Fund,Auditing,Purchase of Services,,,,200000
319,Grants Revenue Fund,Register of Wills,"Materials, Supplies, and Equipment",,,200000,200000
320,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,14591956,9504069
321,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,620990,9504069
322,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,14591956,645000
323,Grants Revenue Fund,District Attorney,Personal Services,15475000,14949628,620990,645000
324,Grants Revenue Fund,District Attorney,Purchase of Services,1124880,1020850,951473,4421800
325,Grants Revenue Fund,District Attorney,"Materials, Supplies, and Equipment",26000,61550,79050,2281160
326,Grants Revenue Fund,Mayor - Planning and Development,Personal Services,,,,90000
327,Grants Revenue Fund,Mayor - Planning and Development,Purchase of Services,,,,56168222
328,Grants Revenue Fund,City Commissioners,Personal Services,100000,100000,100000,125000
329,Grants Revenue Fund,City Commissioners,Purchase of Services,600000,600000,600000,600000
330,Grants Revenue Fund,City Commissioners,"Materials, Supplies, and Equipment",100000,200000,200000,200000
331,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,26220190,28700216
332,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,14377509,28700216
333,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,26220190,14703283
334,Grants Revenue Fund,First Judicial District,Personal Services,50715911,41669189,14377509,14703283
335,Grants Revenue Fund,First Judicial District,Purchase of Services,6775539,5404400,6596489,6334462
336,Grants Revenue Fund,First Judicial District,"Materials, Supplies, and Equipment",491967,536595,2829396,2388110
337,Aviation Fund,Office of Innovation and Technology,Personal Services,297690,257908,780000,940000
